,Argentina,Australia,Brazil,Chile,China,France,Germany,India,Iran,Italy,Japan,Mexico,Portugal,Russia,SouthKorea,Spain,Sweden,Switzerland,UnitedKingdom,US
2019-03-22,30.1351566,44.0559616,28.8877811,23.1402531,12.2804813,20.8724308,19.1235905,34.1537094,28.0778141,19.6195621,15.4286442,33.196312,33.196312,-7.44626474,13.2254276,21.9724064,2.71828604,15.5171452,7.71328115,13.7161503
2019-03-23,29.9685612,44.4443283,29.2229557,21.2186222,13.0579472,20.994379,17.8448429,40.1959457,27.9020023,19.8569584,8.65154457,35.6692734,35.6692734,-6.83002329,12.1260319,24.470911,3.21209097,15.00033,10.5448551,13.2393131
2019-03-24,29.7902164,41.0642319,30.1485538,23.5119877,16.1200504,19.4081974,16.4623051,34.8046188,29.8752079,21.7662296,10.7638798,37.0382919,37.0382919,-6.64801645,12.95965,24.8293095,2.17510366,16.4184818,11.1294193,13.0486698
2019-03-25,26.4991093,36.0121689,30.7005863,17.4721622,17.0060978,16.7526493,8.51360512,40.9627914,28.0736027,20.5494938,10.8175907,37.7761765,37.7761765,-5.28415537,15.2827091,24.7181034,0.595605493,13.9591007,11.3449955,13.2690678
2019-03-26,26.9805851,39.4231491,29.1300602,24.6021671,17.7881718,15.8773136,11.0505924,40.4991989,22.1225834,16.7951298,14.9127445,37.9830246,37.9830246,-4.49732065,19.3251896,24.7501469,0.662591577,9.33806801,9.50881386,15.6780033
2019-03-27,26.6387272,39.0831528,30.0315189,20.1386662,18.0000858,18.39007,8.10579872,41.0847397,26.1101017,16.7290592,14.5279484,33.1132431,33.1132431,-3.85602427,18.1188297,23.5102177,3.88698721,11.2332706,11.4176579,16.0234318
2019-03-28,30.8595524,40.9559555,29.0508976,23.4021549,17.8803959,18.3643131,8.25570107,42.434166,25.1954899,15.9121647,11.8056583,38.2463303,38.2463303,-3.49585581,17.7372074,25.4141178,6.04387808,11.9688969,14.7739811,15.8413029
2019-03-29,31.6862431,37.5488815,30.4684086,19.2139225,19.1905766,21.1112003,19.8031559,40.5944443,30.314661,18.5709476,14.5548344,34.818718,34.818718,-3.00461435,19.5881901,23.0125065,3.58510733,15.19491,14.5808048,14.2333622
2019-03-30,31.3778324,38.5298691,30.0299931,21.6414738,18.503046,21.8940678,20.6689396,43.1177902,27.1804752,20.0284977,11.9278507,38.5693283,38.5693283,-2.00702524,15.3396244,26.2332401,3.44872427,15.8165226,13.331995,14.4273319
2019-03-31,30.6165104,38.9380722,31.1979313,22.6703739,18.8429203,22.070734,17.9973087,36.4703903,36.0756454,20.9955997,13.4031315,36.4726181,36.4726181,-1.00607908,12.725275,18.4486332,2.07103872,17.305994,12.0599613,14.6124516
